nome;telefone;email;empresa;cidade;estado;id_externo
Barbearia do João;SEM_TELEFONE_VALIDO;;Barbearia do João;São Paulo;SP;EXT-0
Salão da Maria;(21) 91000-0137;lead-1@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-1
Studio Corte Fix;(31) 91000-0274;lead-2@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-2
Barbearia Central;(19) 91000-0411;lead-3@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-3
Cabelo & Arte;(41) 91000-0548;lead-4@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-4
Salão Estilo;(51) 91000-0685;lead-5@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-5
Barbearia Urbana;(71) 91000-0822;lead-6@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-6
Studio Beleza Real;(81) 91000-0959;lead-7@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-7
Barbearia Nobre;(85) 91000-1096;lead-8@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-8
Salão da Praça;(62) 91000-1233;lead-9@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-9
Barbearia do João;(11) 91000-1370;lead-10@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-10
Salão da Maria;(21) 91000-1507;lead-11@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-11
Studio Corte Fix;(31) 91000-1644;lead-12@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-12
Barbearia Central;(19) 91000-1781;lead-13@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-13
Cabelo & Arte;(41) 91000-1918;lead-14@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-14
Salão Estilo;(51) 91000-2055;lead-15@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-15
Barbearia Urbana;(71) 91000-2192;lead-16@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-16
Studio Beleza Real;(81) 91000-2329;lead-17@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-17
Barbearia Nobre;(85) 91000-2466;lead-18@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-18
Salão da Praça;(62) 91000-2603;lead-19@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-19
Barbearia do João;(11) 91000-2740;lead-20@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-20
Salão da Maria;(21) 91000-2877;lead-21@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-21
Studio Corte Fix;(31) 91000-3014;lead-22@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-22
Barbearia Central;(19) 91000-3151;lead-23@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-23
Cabelo & Arte;(41) 91000-3288;lead-24@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-24
Salão Estilo;(51) 91000-3425;lead-25@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-25
Barbearia Urbana;(71) 91000-3562;lead-26@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-26
Studio Beleza Real;(81) 91000-3699;lead-27@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-27
Barbearia Nobre;(85) 91000-3836;lead-28@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-28
Salão da Praça;(62) 91000-3973;lead-29@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-29
Barbearia do João;(11) 91000-4110;lead-30@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-30
Salão da Maria;(21) 91000-4247;lead-31@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-31
Studio Corte Fix;(31) 91000-4384;lead-32@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-32
Barbearia Central;(19) 91000-4521;lead-33@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-33
Cabelo & Arte;(41) 91000-4658;lead-34@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-34
Salão Estilo;(51) 91000-4795;lead-35@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-35
Barbearia Urbana;(71) 91000-4932;lead-36@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-36
Studio Beleza Real;(81) 91000-5069;lead-37@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-37
Barbearia Nobre;(85) 91000-5206;lead-38@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-38
Salão da Praça;(62) 91000-5343;lead-39@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-39
Barbearia do João;(11) 91000-5480;lead-40@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-40
Salão da Maria;(21) 91000-5617;lead-41@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-41
Studio Corte Fix;(31) 91000-5754;lead-42@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-42
Barbearia Central;(19) 91000-5891;lead-43@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-43
Cabelo & Arte;(41) 91000-6028;lead-44@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-44
Salão Estilo;(51) 91000-6165;lead-45@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-45
Barbearia Urbana;(71) 91000-6302;lead-46@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-46
Studio Beleza Real;SEM_TELEFONE_VALIDO;;Studio Beleza Real;Recife;PE;EXT-47
Barbearia Nobre;(85) 91000-6576;lead-48@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-48
Salão da Praça;(62) 91000-6713;lead-49@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-49
Barbearia do João;(11) 91000-6850;lead-50@exemplo.com.br;Barbearia do João;São Paulo;SP;EXT-50
Salão da Maria;(21) 91000-6987;lead-51@exemplo.com.br;Salão da Maria;Rio de Janeiro;RJ;EXT-51
Studio Corte Fix;(31) 91000-7124;lead-52@exemplo.com.br;Studio Corte Fix;Belo Horizonte;MG;EXT-52
Barbearia Central;(19) 91000-7261;lead-53@exemplo.com.br;Barbearia Central;Campinas;SP;EXT-53
Cabelo & Arte;(41) 91000-7398;lead-54@exemplo.com.br;Cabelo & Arte;Curitiba;PR;EXT-54
Salão Estilo;(51) 91000-7535;lead-55@exemplo.com.br;Salão Estilo;Porto Alegre;RS;EXT-55
Barbearia Urbana;(71) 91000-7672;lead-56@exemplo.com.br;Barbearia Urbana;Salvador;BA;EXT-56
Studio Beleza Real;(81) 91000-7809;lead-57@exemplo.com.br;Studio Beleza Real;Recife;PE;EXT-57
Barbearia Nobre;(85) 91000-7946;lead-58@exemplo.com.br;Barbearia Nobre;Fortaleza;CE;EXT-58
Salão da Praça;(62) 91000-8083;lead-59@exemplo.com.br;Salão da Praça;Goiânia;GO;EXT-59
